symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
enph,2023-03-31,206.02000427246094,212.1300048828125,205.80999755859375,210.27999877929688,2774500,210.27999877929688,0.0,0.0,230.44000244140625,207.35000061035157,210.82920135498046,250.3099008178711,1.4130688016979098,-0.26049644553691054,-15.772727860100645,-4.879387138019112
eog,2023-03-31,114.0,114.94000244140625,113.48999786376953,114.62999725341797,4939800,114.62999725341797,0.0,0.0,122.62000274658203,111.06053741455078,118.83380584716797,124.68579307556152,3.213976739139685,-3.5375527727829494,-4.693387341128078,-6.289690561979144
epam,2023-03-31,295.3599853515625,300.0,295.010009765625,299.0,355100,299.0,0.0,0.0,341.80999755859375,291.1564001464844,319.1021997070313,329.3523001098633,2.693947256378158,-6.299611762465808,-3.1121994288222186,-9.932187050699186
eqix,2023-03-31,704.2100219726562,722.8800048828125,702.5599975585938,721.0399780273438,614200,721.0399780273438,0.0,0.0,722.8800048828125,688.039140625,704.095087890625,685.5781518554687,4.7963604762901335,2.4066195643380195,2.7009227153813904,-0.9047178547775111
eqr,2023-03-31,58.72999954223633,60.08000183105469,58.72999954223633,60.0,2366800,60.0,0.0,0.0,65.94999694824219,58.74343368530273,61.08876625061035,60.6190701675415,2.1390753584968802,-1.782269175553157,0.7748322133128754,-5.729124686789349
eqt,2023-03-31,31.809999465942383,32.43000030517578,31.56999969482422,31.90999984741211,5193300,31.90999984741211,0.0,0.0,34.79999923706055,31.34280014038086,31.613154335021974,34.68240314483643,1.8096650729699535,0.938993651959877,-8.849585183001969,-1.6191503940112857
es,2023-03-31,78.37999725341797,78.4800033569336,77.47000122070312,78.26000213623047,1734900,78.26000213623047,0.0,0.0,80.56999969482422,75.41938018798828,77.36429229736328,79.40667015075684,3.766435021292579,1.1577819847745423,-2.5720482290921174,-0.3663409393137065
ess,2023-03-31,205.4199981689453,209.38999938964844,204.6199951171875,209.13999938964844,597800,209.13999938964844,0.0,0.0,237.5500030517578,212.336064453125,219.34676147460937,214.5054489135742,-1.505191815487437,-4.653254060531191,2.256964839613819,-7.86910106810997
etn,2023-03-31,170.24000549316406,171.75999450683594,169.27000427246094,171.33999633789062,2931500,171.33999633789062,0.0,0.0,178.75,169.36445373535156,167.52167510986328,163.40742813110353,1.1664446458322608,2.279299813306684,2.517784549830163,0.304191893989846
etr,2023-03-31,107.2699966430664,107.75,106.30999755859375,107.73999786376953,1014800,107.73999786376953,0.0,0.0,110.2300033569336,104.02280059814453,105.46776397705078,108.13505180358887,3.573444710439096,2.154434493570166,-2.4666264842438093,0.6279763026494065
